Wall time,Step,Value
1620349713,32,0.589962125
1620349746,224,0.585555553
1620349780,416,0.591576755
1620349802,544,0.601261497
1620349835,736,0.616010845
1620349846,800,0.621215641
1620349863,896,0.626567721
1620349874,960,0.631145954
1620349880,992,0.633371115
1620349908,1152,0.642129242
1620349913,1184,0.644119203
1620349964,1472,0.655677199
1620350037,1888,0.670609474
1620350065,2048,0.675146401
1620350076,2112,0.6769256
1620350143,2496,0.685760438
1620350181,2720,0.690807581
1620350187,2752,0.691314042
1620350198,2816,0.692913532
1620350215,2912,0.694977283
1620350226,2976,0.696002662
1620350293,3360,0.703101754
1620350309,3456,0.705036879
1620350331,3584,0.707269847
1620350348,3680,0.708613515
1620350365,3776,0.709921896
1620350387,3904,0.711331606
1620350393,3936,0.711685598
1620350415,4064,0.713560879
1620350443,4224,0.716131628
1620350545,4800,0.723032951
1620350590,5056,0.725547493
1620350612,5184,0.72670567
1620350634,5312,0.727949142
1620350640,5344,0.72819221
1620350679,5568,0.730466664
1620350730,5856,0.732878387
1620350752,5984,0.734074771
1620350775,6112,0.735185266
1620350803,6272,0.736644149
1620350825,6400,0.737858355
1620350876,6688,0.739997566
1620350898,6816,0.741051793
1620350904,6848,0.741335392
1620350909,6880,0.741471052
1620350921,6944,0.741869152
1620350926,6976,0.742004991
1620350960,7168,0.743391693
1620350988,7328,0.744772494
1620350999,7392,0.745134771
1620351027,7552,0.746189415
1620351033,7584,0.746547461
1620351039,7616,0.74682045
1620351061,7744,0.747627497
1620351084,7872,0.748507559
1620351112,8032,0.749432027
1620351117,8064,0.749581516
1620351123,8096,0.749768436
1620351252,8832,0.754379869
1620351275,8960,0.755258918
1620351286,9024,0.755692542
1620351314,9184,0.756590247
1620351460,10016,0.760585129
1620351488,10176,0.761324584
1620351499,10240,0.761500955
1620351533,10432,0.762316704
1620351578,10688,0.763179421
1620351611,10880,0.764026761
1620351634,11008,0.764496684
1620351673,11232,0.765376031
1620351684,11296,0.765595973
1620351718,11488,0.766219318
1620351729,11552,0.766372919
1620351808,12000,0.767899573
1620351813,12032,0.768025935
1620351830,12128,0.768347025
1620351869,12352,0.769175529
1620351886,12448,0.769512117
1620351937,12736,0.770383537
1620351959,12864,0.770792842
1620351976,12960,0.771200597
1620351981,12992,0.77130717
1620352032,13280,0.772014558
1620352038,13312,0.772132993
1620352060,13440,0.772452295
1620352071,13504,0.772581935
1620352077,13536,0.772699356
1620352105,13696,0.773100376
1620352173,14080,0.774148226
1620352196,14208,0.774581671
1620352207,14272,0.774736404
1620352224,14368,0.774934292
1620352274,14656,0.77588141
1620352291,14752,0.776123941
1620352336,15008,0.776788116
1620352403,15392,0.777772367
1620352443,15616,0.778378546
1620352516,16032,0.779363275
1620352549,16224,0.779880583
1620352566,16320,0.780114591
1620352577,16384,0.780237257
1620352600,16512,0.780517638
1620352622,16640,0.780827463
1620352634,16704,0.780926347
1620352662,16864,0.781355619
1620352667,16896,0.781407177
1620352718,17184,0.782066464
1620352752,17376,0.782489061
1620352775,17504,0.782722771
1620352780,17536,0.782800317
1620353534,17856,0.836538434
1620353562,18016,0.826111138
1620353640,18464,0.825408638
1620353763,19168,0.821850061
1620353769,19200,0.822014749
1620353791,19328,0.822503269
1620353797,19360,0.823056102
1620353802,19392,0.823372126
1620353903,19968,0.823581755
1620353970,20352,0.823067188
1620353975,20384,0.823081374
1620354009,20576,0.823114872
1620354020,20640,0.823139727
1620354048,20800,0.823674798
1620354192,21632,0.824899137
1620354204,21696,0.824952006
1620354259,22016,0.825118363
1620354321,22368,0.825854838
1620354337,22464,0.825968325
1620354354,22560,0.82617557
1620354466,23200,0.826481342
1620354499,23392,0.826476276
1620354538,23616,0.826587975
1620354571,23808,0.826533139
1620354627,24128,0.82675159
1620354655,24288,0.826881647
1620354660,24320,0.826830268
1620354677,24416,0.826867938
1620354721,24672,0.827114522
1620354738,24768,0.827240407
1620354755,24864,0.827256799
1620354772,24960,0.827407956
1620354777,24992,0.827445865
1620354877,25568,0.828159153
1620354961,26048,0.828634024
1620355045,26528,0.828924417
1620355062,26624,0.828820169
1620355067,26656,0.828845859
1620355078,26720,0.828826725
1620355084,26752,0.828820705
1620355206,27456,0.828989923
1620355234,27616,0.829001248
1620355251,27712,0.82904321
1620355273,27840,0.829056382
1620355284,27904,0.829084456
1620355307,28032,0.82914269
1620355329,28160,0.829211473
1620355351,28288,0.829364955
1620355490,29088,0.829570353
1620355495,29120,0.829574525
1620355556,29472,0.829603076
1620355601,29728,0.82978344
1620355606,29760,0.829765975
1620355623,29856,0.82969594
1620355634,29920,0.829705656
1620355689,30240,0.830031514
1620355728,30464,0.830254257
1620355812,30944,0.830421269
1620355817,30976,0.83038491
1620355834,31072,0.830377996
1620355968,31840,0.83068192
1620355973,31872,0.83072716
1620355984,31936,0.830805957
1620356023,32160,0.830883741
1620356062,32384,0.830920637
1620356068,32416,0.83093375
1620356118,32704,0.831118405
1620356140,32832,0.831200957
1620356151,32896,0.831185877
1620356173,33024,0.831305802
1620356223,33312,0.831444085
1620356263,33536,0.831547737
1620356268,33568,0.831598222
1620356296,33728,0.831790805
1620356341,33984,0.832057059
1620356391,34272,0.832331538
1620356396,34304,0.832370698
1620356419,34432,0.832416952
1620356447,34592,0.832535982
1620356464,34688,0.832618237
1620356475,34752,0.832680464
1620356492,34848,0.832779408
1620356509,34944,0.832879066
1620356531,35072,0.832963228
1620356576,35328,0.833126009
1620357323,35584,0.90625
1620357345,35712,0.843265533
1620357362,35808,0.841111124
1620357401,36032,0.844933212
1620357452,36320,0.846082091
1620357474,36448,0.84476155
1620357480,36480,0.844864845
1620357485,36512,0.844624579
1620357497,36576,0.84475702
1620357514,36672,0.84547174
1620357553,36896,0.846225262
1620357604,37184,0.845506728
1620357660,37504,0.845815957
1620357683,37632,0.845869958
1620357694,37696,0.84585011
1620357711,37792,0.845971048
1620357739,37952,0.845952928
1620357756,38048,0.84576571
1620357761,38080,0.845602214
1620357767,38112,0.845504642
1620357795,38272,0.845830262
1620357874,38720,0.846130848
1620357925,39008,0.845620453
1620357959,39200,0.845607519
1620357998,39424,0.845661938
1620358004,39456,0.845710695
1620358054,39744,0.84616828
1620358094,39968,0.846116006
1620358161,40352,0.846626639
1620358211,40640,0.84687686
1620358233,40768,0.847010612
1620358289,41088,0.84653157
1620358295,41120,0.846515477
1620358312,41216,0.846651435
1620358340,41376,0.846555114
1620358362,41504,0.846642256
1620358435,41920,0.846767962
1620358452,42016,0.846858978
1620358485,42208,0.846962273
1620358491,42240,0.8468858
1620358496,42272,0.846861422
1620358687,43360,0.847840607
1620358720,43552,0.847875357
1620358759,43776,0.847850323
1620358793,43968,0.847920418
1620358815,44096,0.847986162
1620358826,44160,0.847998261
1620358837,44224,0.847955942
1620358871,44416,0.84783268
1620358887,44512,0.847848296
1620358899,44576,0.847798288
1620358915,44672,0.847793341
1620358932,44768,0.847941637
1620358999,45152,0.848135889
1620359010,45216,0.84821707
1620359077,45600,0.848410845
1620359083,45632,0.848470628
1620359088,45664,0.848492861
1620359166,46112,0.848555207
